Record Name,Established,Company Name,Cellar Door Address,T,F,W,Facebook,Twitter,GI Zone,GI Region,All CEO,CEO,All Winemaker,Winemakers,All Sales,All Marketing,Sales & Marketing Manager,Vineyards,Variety used in production,Tonnes Crushed,Cases,Production,Storage Capacity,Fermentation Capacity,Products,Brands,Exports to,Site Facilities,Other Services,Cellar Door Location,URL,ID,SRC,Winery Address,Chief Executives,Formerly,Senior Winemaker/Production,Winemaker,Vineyard Manager (Frankland River),Vineyard Manager (Margaret River),All Restaurant,Cellar Door/Restaurant Manager,Distributors,Winery Location,Chief Executive,All Prod Mgr,Chief Winemaker/Production Manager/Marketing Manager,Vineyard Address,Contract Winemaker,Viticulturist,Vineyard Location,Manager,All Managment,Directors,All Owner,Proprietors,Viticulturist/Production Manager,Office Administration,Partner,Chief Executive Officer,Chief Operations Officer,General Manager Asia Pacific,Group Chief Winemaker,Group White Winemaker,Group Sparkling Winemaker,Group Viticulturist,Group Bulk Wine Trading Manager,Brand PR Executive - Australia,Director,Director/Proprietor,Chief Executive/Owners,Chief Winemaker,Partners,Assistant Winemaker/Viticulturist/Production Manager,Marketing,Owners,Chief Winemaker/Brand & Marketing Manager,Production & Export,Executive Director Marketing,Production Manager,General Manager,Contract Winemaker/Viticulture Consultant,Cellar Door Supervisor,Owner,Assistant Winemaker,Senior Winemaker,Vineyard Manager,Accounts/Marketing,Wholesale,Viticulturist/Production Manager/Marketing,Sales Manager,Brand Manager,Marketing Manager,Export Manager,Consultant Winemaker,Export & National Sales,Sales Director,Viticulturists,Production Manager/Marketing,Managing Director,All Board,Company Secretary,General Manager Operations,Master Distiller,Director Sales & Marketing,Export Manager (UK/Eupart),Human Resources Manager,Consultant Viticulturist,Contract Winemakers,Global Senior Brand Manager - SA Brands,Chief Executive/Owner,Production Manager/Marketing & Sales Manager,Director/General Manager,Finance Manager,Viticulturist & Grower Liaison Officer/Sales & Marketing Manager,Production Manager/Sales & Marketing Manager,Proprietor,Assistant Winemaker/Vineyard Manager,Cellar Door,Manager - Production & Wine Supply,Marketing Director,Sales & Marketing,Viticulturists/Production Managers,Master of Wine
Ainsworth Estate,1994,Scorched Earth Investments Pty Ltd,"110 Ducks Lane, Seville, VIC 3139",0419 303 011,"",www.ainsworth-estate.com.au,"","",Port Phillip,Yarra Valley,"","","","","",Ainsworth Estate (Brands),"","Seville, 3.5 ha","Shiraz, Pinot Noir, Chardonnay",50-99,Less than 999,Wine is made off site,"60,000 litres","80,000 litres",table wine,Ainsworth Estate,"",Accommodation,"","-37.7849036,145.47709180000004",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=18,18,Winebiz Australia,"","","","","","","","","","","","","","","","","","","","","","Phil Crowhurst, Linette Crowhurst (Owners)","","","","","","","","","","","","","","","","","","","","","Phil Crowhurst, Linette Crowhurst","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrasi Wines,1997,George Tallis Pty Ltd,"Lot 2 Mcmillans Road, Boort, VIC 3537",0428 508 609,(03) 5455 2615,"","","","","","","",George Tallis (Winemaker),"","",Akrasi (Brands),"","","Cabernet Sauvignon, Chardonnay, Durif, Shiraz, Petit Verdot, Muscat Gordo Blanco, Marsanne",Less than 10,Less than 999,Wine is made on site,"10,000 litres","15,000 litres",table wine,Akrasi,"","","","-36.109141,143.73353599999996",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=20,20,Winebiz Australia,"","","","",George Tallis,"","","","","","","",George Tallis (Production Manager),"","","","","","",George Tallis (Director),"","","","","","","","","","","","","","","",George Tallis,"","","","","","","","","","",George Tallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert River Wines,1999,Samdoo Corporation Pty Ltd,"869 Mundoolun Connection Road, Tamborine, QLD 4270",(07) 5543 6622,(07) 5543 6627,www.albertriverwines.com.au,AlbertRiverWines,"",Queensland,"","","",Peter Scudamore-Smith (Contract Winemaker/Viticulture Consultant),"","",Albert River Wines (Brands),"","Tamborine, 4 ha","Cabernet Sauvignon, Chambourcin, Chardonnay, Merlot, Semillon, Shiraz, Verdelho, Viognier",20-49,"2,500-4,999",Wine is made off site,"75,000 litres","12,000 litres","table, fortified and sparkling wines",Albert River Wines,Japan,"Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Crafts/Local Produce, Gallery, Historical buildings, Picnic facilities, Tours, Tutored tastings",Viticulture Consulting,"-27.910488,153.11110600000006",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=22,22,Winebiz Australia,"","","","","","","","","","","","","","","","","","","",James Kim (General Manager),"","","","","","","","","","","","","","","","","","","","","","","","","","","",James Kim,Peter Scudamore-Smith,Jenny Durrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alchemists,2009,The Alchemists Wines,"","(08) 9755 5007, 0438 223 431",(08) 9755 5007,www.alchemistswines.com.au,"","",South West Australia,Margaret River,Sarah Mitchell (Chief Executive),"",Brad Mitchell (Viticulturist),"","",The Alchemists (Brands),"",15 ha,"Shiraz, Chardonnay, Malbec, Merlot, Sauvignon Blanc, Semillon, Cabernet Sauvignon",50-99,"5,000-9,999",Wine is made off site,"","","",The Alchemists,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=4480,4480,Winebiz Australia,"","","","","","","","","","","",Sarah Mitchell,"","","203 Clayton Road, Margaret River, WA 6284","",Brad Mitchell,"-33.8297014,115.19301689999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldersyde Estate,2007,"","",(08) 9293 3309,"",www.aldersyde.com.au,"","",Greater Perth,Perth Hills,"","","Larissa Bray (Winemaker), Larissa Bray (Viticulturist)","","",Aldersyde Estate (Brands),"",2 ha,"Shiraz, Malbec, Chardonnay, Merlot, Cabernet Sauvignon",20-49,Less than 999,"","7,000 litres","6,500 litres",table wine,Aldersyde Estate,"",Tutored tastings,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=23,23,Winebiz Australia,"226 Aldersyde Road, Bickley, WA 6076","","","",Larissa Bray,"","","","","","-31.98943,116.09351","","","","","",Larissa Bray,"","","","",Larissa Bray (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Larissa Bray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldinga Bay Winery,1979,"","",(08) 8556 3179,(08) 8556 3350,www.aldingabay.com.au,"","",Fleurieu,McLaren Vale,Nick Girolamo (Chief Executive),"","Nick Girolamo (Chief Winemaker), Eric Scipioni (Viticulturist)","","",Aldinga Bay (Brands),"","Aldinga, 37.4 ha","Cabernet Franc, Tempranillo, Merlot, Cabernet Sauvignon, Shiraz, Sangiovese, Viognier, Verdelho, Chardonnay, Sauvignon Blanc, Ruby Cabernet, Barbera, Grenache, Malbec, Petit Verdot, Nebbiolo",250-499,"50,000-99,999",Wine is made on site,"900,000 litres","150,000 litres",table and fortified wines,Aldinga Bay,"Canada, China, Czech Republic, Hong Kong, India, Indonesia, Poland, Russia",Picnic facilities,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=25,25,Winebiz Australia,"3525 Main South Road, Aldinga, SA 5173","","","","","","","","",Wine Resources International,"-35.294186,138.47441300000003",Nick Girolamo,"","","","",Eric Scipioni,"","","","","","","","","","","","","","","","","","","","","",Nick Girolamo,"","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkoomi Wines,1971,Rosalury Pty Ltd,"1141 Wingebellup Road, Frankland River, WA 6396",(08) 9855 2229,(08) 9855 2284,www.alkoomiwines.com.au,"","",South West Australia,Great Southern,"Sandy Hallett, Rod Hallett (Chief Executives)","","Andrew Cherry (Winemaker), Dougal Herd (Assistant Winemaker), Rod Hallett (Viticulturist)","","","Alkoomi Icon, Alkoomi Black Label, Alkoomi White Label (Brands)","",102.84 ha,"Petit Verdot, Malbec, Merlot, Semillon, Sauvignon Blanc, Shiraz, Chardonnay, Viognier, Riesling, Cabernet Franc, Cabernet Sauvignon, Carnelian","1,000-2,499","50,000-99,999",Wine is made on site,"1,200,000 litres","",table wine,"Alkoomi Icon, Alkoomi Black Label, Alkoomi White Label","Belgium-Luxembourg, Brazil, Canada, China, Denmark, England, Germany, Hong Kong, Indonesia, Ireland, Italy, Japan, Malaysia, Mexico, Norway, Philippines, Singapore, Slovakia, South Korea, Sweden, Taiwan, Thailand, United States","Accommodation, Conferences/Functions, Crafts/Local Produce, Picnic facilities","Bottling, Contract Winemaking","-34.359507,116.95406100000002",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=27,27,Winebiz Australia,"","Sandy Hallett, Rod Hallett","","",Andrew Cherry,"","","","","Fine Wine Wholesalers, WA; déjà vu wine, NSW, QLD, ACT, VIC, TAS; Thomas Chin, NT; The Wine Sellar, SA","","","","","","",Rod Hallett,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Dougal Herd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Estate,1864,All Saints Estate Pty Ltd,"",Freecall: 1800 021 621,(02) 6035 2200,www.allsaintswine.com.au,AllSaintsEstate,@allsaintsestate,North East Victoria,Rutherglen,Eliza Brown (Chief Executive Officer),"","Chloe Earl (Senior Winemaker), Nicholas Brown (Winemaker)","","",All Saints Estate (Brands),"","Wahgunyah, 17.74 ha","Cabernet Franc, Cabernet Sauvignon, Chardonnay, Chenin Blanc, Durif, Marsanne, Mataro, Merlot, Muscadelle, Muscat à Petits Grains, Muscat Gordo Blanco, Pinot Gris, Prosecco, Riesling, Ruby Cabernet, Sangiovese, Sauvignon Blanc, Semillon, Shiraz, Tempranillo",250-499,"20,000-49,999",Wine is made on site,"500,000 litres","","table, fortified and sparkling wines",All Saints Estate,"China, England, Singapore, United States","Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Crafts/Local Produce, Historical buildings, Tours, Tutored tastings",Bottling,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=28,28,Winebiz Australia,"All Saints Road, Wahgunyah, VIC 3687","","","",Nicholas Brown,"","","","","Mezzanine, VIC, WA, NSW, QLD, SA; David Johnstone, TAS","-35.991724823081036,146.40917301177978","",Paul Hepburn (Production Manager),"","","","","","","","","","","","","",Eliza Brown,"","","","","","","","","","","","","","","","","","","",Paul Hepburn,"","","","","",Chloe Earl,Paul Heard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allandale Winery,1978,Villa Villetri (Wines) Pty Ltd,"",(02) 4990 4526,(02) 4990 1714,www.allandalewinery.com.au,"","",Hunter Valley,Hunter,Wally Atallah (Chief Executive),"","Bill Sneddon (Winemaker), Alex Woods (Assistant Winemaker), Bill Sneddon (Viticulturist/Production Manager)","","","Katrina Lock (Marketing), Fiona Hinton-Rodgers (Accounts/Marketing), Allandale Winery (Brands)","",5 ha,"Sangiovese, Shiraz, Verdelho, Semillon, Traminer, Pinot Noir, Cabernet Sauvignon, Merlot, Pinot Gris, Chambourcin, Chardonnay, Sauvignon Blanc",250-499,"20,000-49,999",Wine is made on site,"190,000 litres","90,000 litres","table, fortified and sparkling wines",Allandale Winery,"England, Fiji, Hong Kong, Malaysia, Norway, Singapore","Accommodation, Concerts/Festivals, Crafts/Local Produce, Picnic facilities",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=29,29,Winebiz Australia,"132 Lovedale Road, Lovedale, NSW 2325","","","",Bill Sneddon,"","","","","Vintners, VIC; Bouchon Wines, QLD","-32.778662,151.35768800000005",Wally Atallah,Bill Sneddon (Viticulturist/Production Manager),"","","","","","","","","","",Bill Sneddon,"","","","","","","","","","","","","","","","","",Katrina Lock,"","","","","","","","","",Alex Woods,"","",Fiona Hinton-Rodgers,Will Sneddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allies,2003,Allies Wines,"",0412 111 587,"",allies.com.au,"",@allieswine,Port Phillip,Mornington Peninsula,"","",David Chapman (Winemaker),"","",Allies (Brands),"",3 ha,"Chardonnay, Pinot Noir",10-19,"1,000-1,499",Wine is made off site,"15,000 litres","20,000 litres",table wine,Allies,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2309,2309,Winebiz Australia,"15 Hume Road, Somers, VIC 3927","","","",David Chapman,"","","","",DC Wines,"","","","","","","","","","","",David Chapman (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",David Chapman,"","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allinda Winery,1991,Allinda Winery Pty Ltd,"",(03) 5965 2450,(03) 5965 2467,www.allindawinery.com.au,"","",Port Phillip,Yarra Valley,Al Fencaros (Chief Executive),"",Al Fencaros (Winemaker),"","",Allinda (Brands),"","Dixons Creek, 3 ha","Chardonnay, Cabernet Franc, Cabernet Sauvignon, Petit Verdot, Merlot, Riesling",20-49,"1,500-2,499",Wine is made on site,"40,000 litres","30,000 litres",table and sparkling wines,Allinda,China,"Picnic facilities, Tutored tastings",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=30,30,Winebiz Australia,"119 Lorimers Lane, Dixons Creek, VIC 3775","","","",Al Fencaros,"","","","","Bacchus Wines, VIC; Littledale Fine Wines, NSW","-37.6051001,145.40360299999998",Al Fencaros,"","","","","","","",Linda Fencaros (Director),"","","","","","","","","","","","","","","",Linda Fencaros,"","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Valley Wines,2000,Vasse Holdings Pty Ltd,"",0409 843 337,"",www.allisonvalley.com.au,"","",South West Australia,Margaret River,"","",Bruce Duke (Contract Winemaker),"","","","","North Jindong, 9.72 ha","Sauvignon Blanc, Semillon, Cabernet Sauvignon",10-19,"2,500-4,999",Wine is made off site,"","",table wine,"","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=31,31,Winebiz Australia,"","","","","","","","","","","","","","","362 North Jindong Road, North Jindong, WA 6280",Bruce Duke,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Jennifer Porter,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allusion Wines,1988,Allusion Wines Pty Ltd,"127 Smith Hill Road, Yankalilla, SA 5203",(08) 8558 3333,"",www.allusionwines.com.au,allusionwines,"",Fleurieu,Southern Fleurieu,Mark Savery (Chief Executive),"","Matt Rechner (Contract Winemaker), Mark Savery (Viticulturist/Production Manager/Marketing)","","","Mark Savery (Viticulturist/Production Manager/Marketing), Allusion (Brands)","","Yankalilla, 2 ha","Cabernet Sauvignon, Chardonnay, Pinot Noir, Sauvignon Blanc, Shiraz, Tempranillo",Less than 10,Less than 999,"Wine is made on site, off site","1,000 litres","2,000 litres",table wine,Allusion,"","Accommodation, Coffee/Light Meals, Picnic facilities","","-35.44441416643465,138.35022926330566",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=32,32,Winebiz Australia,"","","","","","","","","","","",Mark Savery,Mark Savery (Viticulturist/Production Manager/Marketing),"","",Matt Rechner,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Mark Savery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Box & Dice,2000,Viottolo Pty Ltd,"8 Oliver's Road, McLaren Vale, SA 5171",(08) 8323 7750,"",www.alphaboxdice.com,alphaboxdice,@AlphaBoxDice,"","","","",Justin Lane (Winemaker),"","","Apostle, Blood of Jupiter, Changing Lanes, Dead Winemakers Society, Enigma, Fog, Golden Mullet Fury, Hercules, Imaginarium, Kit & Kaboodle, Mistress, Siren, Rebel Rebel, Tarot, Whightmare, Zaptung (Brands)","","","Barbera, Cabernet Sauvignon, Chardonnay, Dolcetto, Durif, Grenache, Montepulciano, Nebbiolo, Nero d'Avola, Sangiovese, Semillon, Shiraz, Viognier",100-249,"2,500-4,999",Wine is made off site,"","",table and sparkling wines,"Apostle, Blood of Jupiter, Changing Lanes, Dead Winemakers Society, Enigma, Fog, Golden Mullet Fury, Hercules, Imaginarium, Kit & Kaboodle, Mistress, Siren, Rebel Rebel, Tarot, Whightmare, Zaptung","Canada, Denmark, United States",Historical buildings,Contract Winemaking,"-35.2037086,138.5424852",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2472,2472,Winebiz Australia,"","",Viottolo,"",Justin Lane,"","","","","Nelson Wine Co., QLD, NSW, VIC; Connect Vines, SA; Tasvintage, TAS; Grape & Grain, WA","","","","","","","","","",Dylan Fairweather (Director),"","","","","","","","","","","","","","","",Dylan Fairweather,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Vineyards,2005,Alta Vineyards Pty Ltd,"102-104 Main Street, Hahndorf, SA 5245",(08) 8388 7155,(08) 8388 7522,www.altavineyards.com.au,"","","","",Sarah Fletcher (Chief Executive),"",Sarah Fletcher (Winemaker),"",Will Hancock (Sales Manager),Alta (Brands),"","","Pinot Noir, Pinot Gris, Sauvignon Blanc",500-999,"10,000-19,999",Wine is made off site,"","",table wine,Alta,"Canada, England, United States","Accommodation, Coffee/Light Meals, Historical buildings, Picnic facilities","","-35.0307188,138.81105130000003",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=33,33,Winebiz Australia,"","","","",Sarah Fletcher,"","","","","Mezzanine, Aust.","",Sarah Fletcher,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Will Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadio Wines,1936,Amadio Wines Pty Ltd,"",(08) 8365 5988,(08) 8336 2462,www.amadiowines.com,amadiowines,"",Mount Lofty Ranges,Adelaide Hills,Danniel Amadio (Chief Executive),"","Danniel Amadio (Winemaker), Matt Alexander (Viticulturist)","","","Danniel Amadio (Brand Manager), Amadio, Dog Leg, Redshed, Fetch, Vino Di Famiglia, 8 Immortals (Brands)","",125 ha,"Aglianico, Arneis, Barbera, Cabernet Sauvignon, Chardonnay, Dolcetto, Fiano, Grenache, Mataro, Merlot, Montepulciano, Muscat à Petits Grains, Nebbiolo, Nero d'Avola, Pinot Gris, Pinot Noir, Riesling, Sagrantino, Sangiovese, Sauvignon Blanc, Savagnin, Semillon, Shiraz, Tempranillo, Verdelho, Vermentino, Viognier",250-499,"50,000-99,999",Wine is made off site,"","","table, fortified and sparkling wines","Amadio, Dog Leg, Redshed, Fetch, Vino Di Famiglia, 8 Immortals","Canada, China, Hong Kong, Indonesia, Russia, Singapore, Sweden, United Arab Emirates, United States","Conferences/Functions, Tutored tastings",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2356,2356,Winebiz Australia,"","","","",Danniel Amadio,"","","","","","",Danniel Amadio,"","","Lot 26-27 South Para Road, Kersbrook, SA 5231","",Matt Alexander,"-34.753267,138.870319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Danniel Amadio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amato Vino,2003,"","",0409 572 957,(08) 9757 1897,www.amatovino.com.au,winebybrad,@AmatoVino,"","","","",Brad Wehr (Winemaker),"","","Amato Vino, Mantra, Brad (Brands)","","","Bastardo, Bianco d'Alessano, Cabernet Sauvignon, Carignan, Chardonnay, Graciano, Merlot, Montepulciano, Nebbiolo, Nero d'Avola, Sauvignon Blanc, Semillon, Tempranillo, Teroldego, Vermentino",50-99,"5,000-9,999",Wine is made on site,"","",table and organic wines,"Amato Vino, Mantra, Brad","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2213,2213,Winebiz Australia,"PO Box 475, Margaret River, WA 6285","",Wine by Brad,"",Brad Wehr,"","","","","","","","","","","","","","","","",Brad Wehr (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Brad Wehr,"","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambar Hill,2001,Ambar Hill Vineyard Pty Ltd,"",(07) 4683 4195,"",www.ambarhill.com.au,"","",Queensland,Granite Belt,Graham Dalton (Chief Executive),"",Jim Barnes (Winemaker),"","","Hanbing Dalton (Marketing Manager), Ambar Hill (Brands)","",3 ha,"Cabernet Sauvignon, Chardonnay, Shiraz, Verdelho, Cabernet Franc, Merlot",Less than 10,Less than 999,"Wine is made on site, off site","12,000 litres","12,000 litres",table and fortified wines,Ambar Hill,China,"","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2433,2433,Winebiz Australia,"364 Mount Stirling Road, Glen Alpin, QLD 4381","","","",Jim Barnes,"","","","",Fino Food and Wine,"-28.724545,151.84998999999993",Graham Dalton,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Hanbing Dalton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrook Wines,1999,"","2810 West Swan Road, Caversham, WA 6055",(08) 9274 1003,"",www.ambrookwines.com.au,Ambrookwine,"",Greater Perth,Swan District,Mickele Amonini (Chief Executive),"","Mickele Amonini (Winemaker), Mickele Amonini (Viticulturist/Production Manager)","","","Ambrook Wines, Amonini (Brands)","","West Swan, 4.5 ha; Caversham, 2.25 ha","Cabernet Sauvignon, Chenin Blanc, Grenache, Merlot, Muscat Gordo Blanco, Pinot Gris, Sangiovese, Semillon, Shiraz, Verdelho, Vermentino",20-49,"",Wine is made on site,"12,000 litres","10,000 litres",table and fortified wines,"Ambrook Wines, Amonini",Nepal,Picnic facilities,"","-31.8716611,115.98141320000002",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=37,37,Winebiz Australia,"","","","",Mickele Amonini,"","","","","","",Mickele Amonini,Mickele Amonini (Viticulturist/Production Manager),"","","","","","","","","","",Mickele Amonini,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia Park Wines,2009,"","",(08) 9756 7007,(08) 9756 7776,www.ameliaparkwines.com.au,"","","","","","",Jeremy Gordon (Winemaker),"","","Amelia Park, Mishmash (Brands)","","","Chardonnay, Merlot, Semillon","","",Wine is made off site,"","",table wine,"Amelia Park, Mishmash","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=3775,3775,Winebiz Australia,"3857 Caves Road, Willyabrup, WA 6280","","","",Jeremy Gordon,"","","","","","-33.6154902,115.10800169999993","","","","","","","","",Daniela Gordon (Director),"","","","","","","","","","","","","","","",Daniela Gordon,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst Winery,1989,"","121 High Street, Avoca, VIC 3365",0400 380 382,"",www.amherstwinery.com,Amherst Winery,@Amherstwinery,Western Victoria,Pyrenees,"","","Andrew Koerner (Contract Winemaker), Luke Jones (Winemaker)","","","Amherst, Daisy Creek (Brands)","",4 ha,"Cabernet Sauvignon, Pinot Noir, Chardonnay, Shiraz",20-49,"1,500-2,499",Wine is made on site,"25,000 litres","15,000 litres",table wine,"Amherst, Daisy Creek","","Accommodation, Crafts/Local Produce, Picnic facilities","","-37.0883923394765,143.47365617752075",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=38,38,Winebiz Australia,"","","","",Luke Jones,"","","","","","","","","","",Andrew Koerner,"","","","","",Luke Jones (Owner),"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Luke Jones,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amicus,2002,Amicus Wines Pty Ltd,"","(08) 8323 8818, 0411 411 511",(08) 8323 8610,www.hedonistwines.com.au,"","","","",Walter Clappis (Chief Executive Officer),"","Walter Clappis, Kimberly Cooter, James Cooter (Winemakers), Walter Clappis (Viticulturist/Production Manager)","Walter Clappis, Kimberly Cooter, James Cooter","",Amicus (Brands),"","","Cabernet Sauvignon, Grenache, Malbec, Merlot, Shiraz, Tempranillo",20-49,"2,500-4,999",Wine is made on site,"210,000 litres","35,000 litres",table wine,Amicus,"Canada, China, England, Malaysia, Singapore, United States","",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=39,39,Winebiz Australia,"82 Strout Road, McLaren Vale, SA 5171","","","","","","","","","Festival City Wines, VIC, SA; Whole Bunch Wines, NSW; Australian Independent Wine Wholesalers, QLD","-35.232069,138.57184899999993","",Walter Clappis (Viticulturist/Production Manager),"","","","","","","","","","",Walter Clappis,"","",Walter Clappis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphora Wine Group,2001,Amphora Wine Group Pty Ltd,"",(08) 8331 8459,(08) 8331 9674,www.amphorawines.com.au,stonyfellwinerycellardoor,@AmphoraWines,Adelaide,"","","",Karl Gumpl (Winemaker),"","","Cartel, Screaming Crow, One Tree Plain, Hidden Id, Diamond Falls (Brands)","",1 ha,"Cabernet Sauvignon, Chardonnay, Merlot, Pinot Gris, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc, Semillon, Shiraz",Less than 10,Less than 999,Wine is made off site,"","","table, fortified and sparkling wines","Cartel, Screaming Crow, One Tree Plain, Hidden Id, Diamond Falls","China, Fiji, New Zealand, South Korea, Tonga, United States","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=1312,1312,Winebiz Australia,"Stonyfell Winery, Stonyfell Road, Stonyfell, SA 5066","",Montego Estate Wines,"",Karl Gumpl,"","","","","","-34.933828,138.67887500000006","","","","","","","","",William Howard (Director),"","","","","","","","","","","","","","","",William Howard,"","","","","","","","","","","","","","","","","","","","","","","","",Huai Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amulet Vineyard,2000,EJ & SL Thornton,"1036 Wangaratta Road, Beechworth, VIC 3747",(03) 5727 0420,(03) 5727 0421,www.amuletvineyard.com.au,"","",North East Victoria,Beechworth,"","","Ben Clifton (Winemaker), Sue Thornton (Viticulturist/Production Manager)","","",Amulet (Brands),"",2.7 ha,"Barbera, Merlot, Orange Muscat, Prosecco, Cabernet Sauvignon, Pinot Gris, Chardonnay, Pinot Blanc, Nebbiolo, Sangiovese",20-49,Less than 999,Wine is made on site,"20,000 litres","20,000 litres",table and sparkling wines,Amulet,"","Cafe/Restaurant, Conferences/Functions","Bottling, Contract Winemaking","-36.38378800772452,146.57659239999998",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=41,41,Winebiz Australia,"","","","",Ben Clifton,"","","","","","","",Sue Thornton (Viticulturist/Production Manager),"","","","","","","","","Eric Thornton, Sue Thornton (Partners)","",Sue Thornton,"","","","","","","","","","","","","","","","Eric Thornton, Sue Thornton","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient River,1996,"","",0409 199 901,"",www.ancientriver.com.au,"","",Central Victoria,Goulburn Valley,"","","","","",Ancient River (Brands),"",18 ha,"Merlot, Cabernet Sauvignon, Shiraz",Less than 10,"1,000-1,499",Wine is made off site,"","",table wine,Ancient River,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=4593,4593,Winebiz Australia,"","","","","","","","","","","","","","","4815 Goulburn Valley Highway, Murchison East, VIC 3610","","","-36.622816,145.23740299999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
